| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 62      | 496       | 8                  | 1000000     | 100            | 1.414761e-03                 | 2.870013e-02           |
| gpu         | 63      | 504       | 8                  | 1000000     | 100            | 1.400646e-03                 | 2.881821e-02           |
| gpu         | 64      | 512       | 8                  | 1000000     | 100            | 1.391144e-03                 | 2.866412e-02           |
| gpu         | 65      | 520       | 8                  | 1000000     | 100            | 1.382461e-03                 | 2.867636e-02           |
| gpu         | 66      | 528       | 8                  | 1000000     | 100            | 1.372772e-03                 | 2.866778e-02           |
| gpu         | 67      | 536       | 8                  | 1000000     | 100            | 1.363826e-03                 | 2.868928e-02           |
| gpu         | 68      | 544       | 8                  | 1000000     | 100            | 1.351855e-03                 | 2.868101e-02           |
| gpu         | 69      | 552       | 8                  | 1000000     | 100            | 1.813657e-03                 | 2.912229e-02           |
| gpu         | 70      | 560       | 8                  | 1000000     | 100            | 1.817994e-03                 | 2.913516e-02           |
| gpu         | 71      | 568       | 8                  | 1000000     | 100            | 1.803681e-03                 | 2.913835e-02           |
| gpu         | 72      | 576       | 8                  | 1000000     | 100            | 1.813145e-03                 | 2.908731e-02           |
| gpu         | 73      | 584       | 8                  | 1000000     | 100            | 1.793209e-03                 | 2.906322e-02           |
| gpu         | 74      | 592       | 8                  | 1000000     | 100            | 1.775138e-03                 | 2.908152e-02           |
| gpu         | 75      | 600       | 8                  | 1000000     | 100            | 1.751230e-03                 | 2.903167e-02           |
| gpu         | 76      | 608       | 8                  | 1000000     | 100            | 1.735389e-03                 | 2.901146e-02           |
| gpu         | 77      | 616       | 8                  | 1000000     | 100            | 1.718122e-03                 | 2.901382e-02           |
| gpu         | 78      | 624       | 8                  | 1000000     | 100            | 1.707619e-03                 | 2.902748e-02           |
| gpu         | 79      | 632       | 8                  | 1000000     | 100            | 1.694124e-03                 | 2.897986e-02           |
| gpu         | 80      | 640       | 8                  | 1000000     | 100            | 1.678703e-03                 | 2.898765e-02           |
| gpu         | 81      | 648       | 8                  | 1000000     | 100            | 1.663002e-03                 | 2.896946e-02           |
| gpu         | 82      | 656       | 8                  | 1000000     | 100            | 1.649738e-03                 | 2.900391e-02           |
| gpu         | 83      | 664       | 8                  | 1000000     | 100            | 1.637891e-03                 | 2.893674e-02           |
| gpu         | 84      | 672       | 8                  | 1000000     | 100            | 1.626777e-03                 | 2.904113e-02           |
| gpu         | 85      | 680       | 8                  | 1000000     | 100            | 1.616394e-03                 | 2.891098e-02           |
| gpu         | 86      | 688       | 8                  | 1000000     | 100            | 1.605848e-03                 | 2.890806e-02           |
| gpu         | 87      | 696       | 8                  | 1000000     | 100            | 1.594542e-03                 | 2.893447e-02           |
| gpu         | 88      | 704       | 8                  | 1000000     | 100            | 1.585507e-03                 | 2.894204e-02           |
